Organization: KDE
"name","html_url","languages_url","pushed_at","created_at","updated_at","language","has_issues","archived","open_issues_count","topics"
"MaterialsDatabase","https://github.com/BRL-CAD/MaterialsDatabase","https://api.github.com/repos/BRL-CAD/MaterialsDatabase/languages","2016-03-29T17:59:39Z","2014-10-16T22:36:09Z","2020-05-31T19:44:48Z","PHP",false,false,1,"[]"
"gci-task-manager","https://github.com/BRL-CAD/gci-task-manager","https://api.github.com/repos/BRL-CAD/gci-task-manager/languages","2014-12-10T07:33:55Z","2014-12-01T03:06:01Z","2014-12-10T07:33:57Z","PHP",true,false,1,"[]"
"arbalest","https://github.com/BRL-CAD/arbalest","https://api.github.com/repos/BRL-CAD/arbalest/languages","2024-09-05T14:22:55Z","2020-06-04T11:41:52Z","2024-11-01T12:02:42Z","C++",true,false,5,"[]"
"jbrlcad","https://github.com/BRL-CAD/jbrlcad","https://api.github.com/repos/BRL-CAD/jbrlcad/languages","2021-01-27T14:27:37Z","2021-01-27T14:25:28Z","2021-01-27T14:26:00Z","Java",true,false,1,"[]"
"web_old_svn","https://github.com/BRL-CAD/web_old_svn","https://api.github.com/repos/BRL-CAD/web_old_svn/languages","2023-04-22T08:15:04Z","2021-01-27T14:44:13Z","2021-01-27T14:45:20Z","PHP",true,false,4,"[]"
"brlcad","https://github.com/BRL-CAD/brlcad","https://api.github.com/repos/BRL-CAD/brlcad/languages","2024-12-23T23:09:08Z","2021-03-18T15:23:16Z","2024-12-23T23:09:12Z","Tcl",true,false,55,"[""cad""]"
"brlcad-docs","https://github.com/BRL-CAD/brlcad-docs","https://api.github.com/repos/BRL-CAD/brlcad-docs/languages","2023-09-10T14:10:25Z","2021-05-28T09:23:08Z","2024-10-03T18:58:26Z","Roff",true,false,7,"[]"
"docs","https://github.com/BRL-CAD/docs","https://api.github.com/repos/BRL-CAD/docs/languages","2024-03-04T08:39:35Z","2022-02-09T13:00:39Z","2022-02-09T13:07:15Z","Roff",true,false,8,"[]"

Organization: eclipse
"name","html_url","languages_url","pushed_at","created_at","updated_at","language","has_issues","archived","open_issues_count","topics"
"Xpect","https://github.com/eclipse/Xpect","https://api.github.com/repos/eclipse/Xpect/languages","2024-12-18T10:29:45Z","2012-06-26T14:02:51Z","2024-12-18T10:29:47Z","Java",true,false,123,"[]"
"xsemantics","https://github.com/eclipse/xsemantics","https://api.github.com/repos/eclipse/xsemantics/languages","2023-11-30T16:33:59Z","2013-10-22T09:51:08Z","2024-05-17T21:32:23Z","Java",true,false,12,"[]"
"ponte","https://github.com/eclipse/ponte","https://api.github.com/repos/eclipse/ponte/languages","2018-09-03T06:08:05Z","2014-04-17T17:44:23Z","2024-09-18T09:25:38Z","JavaScript",true,false,28,"[]"
"mraa","https://github.com/eclipse/mraa","https://api.github.com/repos/eclipse/mraa/languages","2024-08-28T14:57:39Z","2014-05-28T10:09:14Z","2024-12-23T17:18:20Z","C",true,false,194,"[""board"",""communication"",""galileo"",""gpio"",""i2c"",""intel-joule"",""io"",""libmraa"",""linux"",""mraa"",""raspberry-pi"",""spi""]"
"upm","https://github.com/eclipse/upm","https://api.github.com/repos/eclipse/upm/languages","2023-01-29T08:32:30Z","2014-06-05T15:20:41Z","2024-11-16T17:05:41Z","C++",true,false,66,"[""actuators"",""c"",""cpp"",""internet-of-things"",""iot"",""java"",""nodejs"",""python"",""sensor"",""upm""]"
"ice","https://github.com/eclipse/ice","https://api.github.com/repos/eclipse/ice/languages","2023-10-18T03:44:40Z","2014-06-24T18:20:00Z","2024-06-15T11:21:18Z","Java",true,true,13,"[]"
"dawnsci","https://github.com/eclipse/dawnsci","https://api.github.com/repos/eclipse/dawnsci/languages","2019-11-19T14:06:17Z","2014-10-22T14:46:08Z","2024-03-31T14:15:20Z","Java",false,false,1,"[]"
"eavp","https://github.com/eclipse/eavp","https://api.github.com/repos/eclipse/eavp/languages","2019-03-25T18:00:31Z","2015-12-18T14:57:38Z","2024-06-15T11:21:31Z","Java",true,false,15,"[]"
"richbeans","https://github.com/eclipse/richbeans","https://api.github.com/repos/eclipse/richbeans/languages","2018-11-23T16:11:38Z","2016-01-20T16:35:59Z","2018-09-24T19:53:28Z","Java",true,false,3,"[]"
"microprofile-samples","https://github.com/eclipse/microprofile-samples","https://api.github.com/repos/eclipse/microprofile-samples/languages","2023-07-19T21:20:24Z","2016-07-19T08:03:22Z","2024-11-04T04:35:54Z","Java",true,false,9,"[]"
"microprofile-conference","https://github.com/eclipse/microprofile-conference","https://api.github.com/repos/eclipse/microprofile-conference/languages","2023-07-19T21:17:38Z","2016-08-17T18:20:31Z","2024-09-15T05:33:51Z","Java",true,false,32,"[]"
